order_index,epic,title,description,status,priority,issue_type,story_points,estimated_minutes,definition_of_done,acceptance_criteria,is_ready_for_ai,is_ready_for_human,tenant_id,source_system
1,R0 Stabilize,Remove duplicate POST concat in coach route,Deleted the stale 273-line duplicate handler that a v0 sync fused into app/api/coach/route.ts (the missing-brace syntax error).,done,P0,chore,2,60,Single POST handler; tsc parses file,No duplicate export POST; build passes,true,false,hirewire,release_train
2,R0 Stabilize,Fix login: @supabase/ssr cookie sessions,lib/supabase/client.ts now uses createBrowserClient so sessions persist in cookies the middleware/server can read (was localStorage-only → silent redirect).,done,P0,story,3,90,createClient exported via createBrowserClient,11 createClient import errors cleared; cookie session set,true,false,hirewire,release_train
3,R0 Stabilize,Migrate coach route to AI SDK v6,"inputSchema (was parameters), stopWhen: stepCountIs, toUIMessageStreamResponse.",done,P0,story,3,90,Coach route 0 tsc errors on v6 API,tsc clean for coach route,true,false,hirewire,release_train
4,R0 Stabilize,Create lib/adapters/groq.ts + pin @ai-sdk/groq@3,Missing module both AI routes imported; pinned to v3 line to match ai@6 (LanguageModelV3).,done,P0,chore,2,45,groq/MODELS/isGroqConfigured exported,coach + generate-documents resolve groq import,true,false,hirewire,release_train
5,R0 Stabilize,Fix generate-documents route,user.id scope in catch; EvidenceRecord type on map param.,done,P1,bug,1,30,generate-documents 0 tsc errors,tsc clean,true,false,hirewire,release_train
6,R0 Stabilize,Fix 3 orphaned feature screens,"Repurposed useSupabase into {supabase,session} hook; preserved DEC-002 logic as evidenceGate; typed implicit-any.",done,P2,bug,2,45,screen-10/17/25 0 tsc errors,tsc clean,true,false,hirewire,release_train
7,R0 Stabilize,Remove duplicate /onboarding route,Deleted stale app/(auth)/onboarding (kept newer root app/onboarding) — build-blocking parallel route.,done,P0,bug,1,20,next build no parallel-route error,build passes,true,false,hirewire,release_train
8,R0 Stabilize,npm install missing deps,"@ai-sdk/openai, csv-parse, @playwright/test were declared but uninstalled.",done,P0,chore,1,15,node_modules complete,tsc resolves all modules,true,false,hirewire,release_train
9,R0 Stabilize,Build-integrity guardrail,"scripts/agent/integrity-check.mjs detects v0-concat (mid-file imports, duplicate exports); wired as pre-commit hook + CI + agent:verify.",done,P1,story,5,180,Gate blocks concat on staged files; passes clean tree,"Proven: catches coach backup, passes current tree",true,false,hirewire,release_train
10,R0 Stabilize,Branch + commit stabilization work,Create feat/stabilize-build-green from main; commit all R0 done items.,not_started,P0,chore,1,20,Branch pushed with clean commit,"git log shows the work on a branch, not main",true,false,hirewire,release_train
11,R0 Stabilize,Open PR + green CI,"Open PR; ensure agent-gates workflow passes (integrity, typecheck, lint, build).",not_started,P0,chore,2,30,"PR open, CI green",All gates green on PR,true,false,hirewire,release_train
12,R0 Stabilize,Run agent:verify with receipt,npm run agent:verify locally; capture output as the build receipt.,not_started,P0,chore,1,15,typecheck+lint+build all pass,Receipt attached to PR,true,false,hirewire,release_train
13,R1 Verify,Verify password login end-to-end (live),"Boot app, log in with a real account, confirm land on /dashboard with session cookie (proves the @supabase/ssr fix at runtime).",not_started,P0,story,3,60,Authenticated dashboard renders,No bounce back to /login; cookie present,false,true,hirewire,release_train
14,R1 Verify,Verify magic-link login (live),Send + consume a magic link; confirm session.,not_started,P1,story,2,45,Magic link authenticates,Lands authenticated,false,true,hirewire,release_train
15,R1 Verify,Verify signup + email confirmation,Sign up a fresh account; confirm the email-confirmation gate behavior.,not_started,P1,story,2,45,Signup → confirm → login works,Confirmed account can log in,false,true,hirewire,release_train
16,R1 Verify,Confirm Groq model IDs are served,Validate llama-3.3-70b-versatile and llama-3.1-8b-instant against Groq's current catalog.,not_started,P1,chore,1,15,Both model IDs return 200,Live call succeeds,false,true,hirewire,release_train
17,R1 Verify,Verify coach chat streams (live),Run a live coach conversation; confirm AI SDK v6 streaming + tool calls work with the groq adapter. Needs GROQ_API_KEY.,not_started,P0,story,3,60,Coach streams a grounded reply + tool call,End-to-end stream observed,false,true,hirewire,release_train
18,R1 Verify,Verify document generation (live),Generate a resume + cover letter for a real job; confirm output + quality gate + provenance.,not_started,P0,story,5,90,Docs generate with provenance,"Resume+cover letter produced, gate runs",false,true,hirewire,release_train
19,R1 Verify,Verify route protection,Confirm middleware/proxy protects pages AND API routes for unauthed + cross-tenant access.,not_started,P0,story,3,60,Protected routes 401/redirect,No unauthed access; RLS holds,false,true,hirewire,release_train
20,R1 Verify,Smoke-test the spine,Walk Generate → Review → Approve → Ready → Apply end-to-end for one job.,not_started,P0,story,5,90,Full spine completes for a job,Each gate honest; apply blocked until ready,false,true,hirewire,release_train
21,R2 Audit,Classify maturity + North Star,Maturity gate + one measurable outcome + non-goals for HireWire.,not_started,P1,story,2,60,Class set with justification,North Star instrumented target defined,true,false,hirewire,release_train
22,R2 Audit,Truth Ledger for all modules,Status every HireWire module VERIFIED/PARTIAL/ASSUMED/PLANNED/MISSING/BROKEN with receipts.,not_started,P1,story,3,120,Every module has a status+receipt,No ASSUMED without a plan,true,false,hirewire,release_train
23,R2 Audit,Surface Inventory (full tree),Pages → components → buttons/clicks across all 35 pages / 39 API routes.,not_started,P1,story,5,180,"Complete surface tree, no orphans",Every page mapped,true,false,hirewire,release_train
24,R2 Audit,Atomic I/O — auth flows,One row per element for login/signup/onboarding/reset.,not_started,P1,story,3,120,Every auth element has a filled row,No blank output/state/validation cells,true,false,hirewire,release_train
25,R2 Audit,Atomic I/O — dashboard + jobs,"Per-element I/O for dashboard, jobs list/detail, new job.",not_started,P1,story,5,180,Filled rows for dashboard+jobs,No blank cells,true,false,hirewire,release_train
26,R2 Audit,Atomic I/O — evidence + coach,Per-element I/O for evidence library + coach.,not_started,P1,story,5,180,Filled rows for evidence+coach,No blank cells,true,false,hirewire,release_train
